38280,78320,78270,78295
38290,78350,78290,78320
38325,78330,78260,78290
38285,78370,78280,78340
38335,78405,78330,78345
38345,78375,78325,78360
38355,78385,78320,78340
38335,78425,78335,78365
38370,78370,78285,78295
38290,78345,78280,78330
38330,78350,78280,78290
38285,78320,78260,78310
38310,78310,78225,78260
38255,78270,78225,78225
38230,78270,78215,78225
38220,78260,78220,78245
38245,78285,78240,78275
38275,78285,78250,78265
38270,78285,78250,78265
38260,78265,78215,78220
38225,78245,78215,78235
38230,78265,78230,78260
38255,78325,78255,78270
38270,78285,78240,78255
38255,78260,78205,78225
38225,78245,78190,78240
38240,78260,78215,78230
38240,78245,78215,78225
38225,78260,78205,78245
38245,78310,78230,78280
38280,78280,78235,78245
38250,78265,78175,78190
38190,78210,78180,78200
38200,78210,78160,78190
38190,78195,78160,78175
38170,78230,78170,78210
38210,78245,78195,78225
38230,78270,78225,78240
38240,78350,78235,78330
38325,78400,78305,78370
38370,78415,78365,78385
38385,78390,78325,78355
38360,78375,78340,78355
38350,78405,78340,78385
38390,78425,78375,78395
38400,78440,78375,78405
38400,78425,78385,78420
38420,78450,78390,78435
38430,78445,78380,78385
38385,78410,78370,78375
38385,78385,78330,78340
38340,78385,78325,78330
38325,78335,78280,78310
38320,78325,78305,78315
38315,78325,78260,78285
38290,78300,78225,78240
38245,78255,78185,78220
38220,78270,78200,78250
38250,78270,78215,78255
38260,78345,78240,78325
38330,78355,78310,78325
38320,78330,78280,78320
38320,78320,78290,78310
38310,78325,78290,78305
38310,78315,78260,78285
38285,78320,78275,78310
38305,78345,78285,78335
38335,78370,78335,78355
38360,78360,78335,78345
38350,78485,78340,78460
38455,78520,78455,78515
38515,78675,78515,78670
38670,78700,78650,78670
38675,78685,78575,78575
38575,78650,78575,78595
38600,78650,78585,78635
38640,78700,78625,78680
38680,78700,78650,78695
38690,78735,78680,78710
38710,78830,78705,78805
38805,78830,78760,78790
38785,78825,78770,78810
38810,78865,78790,78845
38845,78900,78840,78840
38835,78940,78835,78935
38935,78935,78885,78900
38895,78910,78810,78825
38830,78845,78795,78805
38800,78845,78800,78840
38835,78890,78825,78855
38850,78880,78800,78855
38850,78945,78850,78890
38890,78920,78810,78820
38820,78840,78760,78770
38770,78840,78770,78810
38815,78820,78745,78765
38770,78810,78755,78755
38760,78815,78755,78805
38805,78875,78770,78840
38845,78935,78815,78915
38915,78950,78885,78895
38895,78915,78865,78895
38895,78900,78835,78885
38885,78895,78855,78870
38870,78890,78820,78830
38830,78845,78800,78810
38810,78840,78805,78820
38820,78825,78780,78790
38790,78820,78780,78815
38810,78835,78780,78790
38795,78800,78730,78775
38770,78780,78720,78745
38745,78745,78705,78705
38705,78740,78700,78710
38710,78715,78655,78660
38665,78675,78640,78665
38660,78695,78650,78670
38670,78750,78655,78710
38705,78725,78670,78695
38695,78705,78670,78700
38700,78700,78645,78655
38655,78680,78645,78675
38675,78685,78640,78675
38675,78715,78660,78685
38680,78825,78665,78775
38770,78840,78760,78775
38780,78870,78780,78860
38855,78865,78830,78845
38845,78885,78805,78865
38865,78930,78855,78905
38905,78940,78885,78885
38885,78900,78820,78825
38830,78850,78790,78815
38820,78825,78755,78775
38770,78795,78725,78735
38730,78755,78710,78710
38710,78770,78685,78700
38700,78745,78680,78730
38730,78750,78710,78735
38730,78795,78720,78785
38780,78790,78745,78780
38775,78780,78735,78770
38770,78780,78725,78730
38730,78735,78650,78660
38665,78690,78610,78675
38675,78730,78665,78725
38725,78740,78675,78730
38730,78735,78680,78690
38685,78730,78685,78720
38720,78745,78715,78720
38725,78750,78680,78680
38685,78690,78660,78675
38680,78685,78665,78680
38680,78700,78655,78695
38695,78750,78680,78730
38730,78730,78665,78695
38700,78725,78685,78715
38715,78735,78705,78730
38725,78735,78700,78715
38715,78770,78715,78745
38740,78875,78740,78865
38865,78870,78825,78835
38835,78855,78830,78855
38850,78890,78850,78865
38860,78920,78855,78870
38865,78885,78805,78830
38825,78830,78785,78820
38820,78860,78815,78855
38855,78860,78825,78840
38840,78850,78790,78820
38820,78820,78760,78770
38770,78795,78750,78775
38775,78830,78775,78815
38815,78860,78795,78825
38820,78885,78780,78860
38860,78865,78790,78855
38855,78865,78825,78860
38860,78870,78845,78855
38860,78875,78805,78815
38810,78865,78790,78850
38850,78865,78810,78840
38835,78890,78835,78885
38890,78890,78835,78850
38845,78850,78805,78820
38820,78875,78815,78870
38865,78900,78835,78850
38850,78860,78815,78840
38845,78875,78820,78860
38860,78880,78825,78830
38825,78865,78820,78835
38845,78885,78835,78875
38875,78880,78845,78880
38885,78885,78855,78865
38870,78875,78830,78830
38830,78855,78830,78835
38840,78875,78835,78875
38870,78885,78840,78850
38845,78860,78835,78840
38835,78845,78825,78845
38845,78895,78845,78890
38885,78900,78875,78900
38900,78925,78865,78875
38865,78890,78860,78880
38880,78885,78840,78870
38860,78870,78860,78865
38865,78870,78860,78865
38865,78900,78860,78895
38885,78890,78860,78860
38860,78865,78850,78860
38860,78860,78820,78820
38825,78825,78765,78795
38790,78815,78775,78815
38815,78820,78785,78800
38800,78885,78795,78875
38875,78915,78855,78905
38900,78955,78880,78905
38905,78905,78865,78875
38875,78895,78875,78880
38880,78890,78870,78890
38890,78925,78885,78915
38910,78950,78900,78905
38915,78940,78900,78935
38935,78955,78930,78950
38950,78975,78950,78965
38960,78975,78955,78965
38965,79000,78965,78975
38970,78985,78960,78965
38970,78970,78955,78955
38960,78965,78955,78960
38955,78965,78920,78925
38925,78930,78900,78920
38925,78950,78910,78920
38925,78930,78895,78910
38910,78920,78895,78905
38905,78930,78895,78910
38910,78950,78910,78940
38950,78985,78925,78970
38965,79000,78935,78940
38945,78945,78905,78925
38920,78960,78890,78905
38910,78950,78900,78920
38930,78940,78900,78910
38905,78935,78905,78930
38925,78955,78920,78930
38880,78900,78800,78825
38825,78880,78805,78815
38825,78840,78760,78770
38770,78800,78680,78690
38695,78750,78660,78685
38680,78705,78595,78600
38600,78630,78575,78615
38615,78660,78610,78660
38660,78660,78590,78640
38635,78655,78510,78535
38535,78580,78505,78565
38560,78630,78555,78595
38595,78605,78525,78605
38600,78605,78560,78575
38575,78580,78480,78500
38505,78605,78500,78585
38585,78650,78580,78620
38615,78655,78600,78655
38655,78670,78610,78640
38635,78665,78625,78630
38630,78660,78600,78615
38615,78620,78550,78570
38575,78630,78570,78625
38625,78670,78620,78630
38635,78660,78630,78650
38655,78695,78625,78685
38690,78800,78680,78775
38775,78820,78755,78765
38765,78840,78735,78810
38805,78820,78795,78810
38815,78850,78750,78765
38770,78770,78730,78740
38740,78755,78710,78715
38715,78730,78680,78720
38715,78765,78700,78735
38730,78775,78700,78750
38755,78760,78650,78700
38700,78745,78695,78700
38705,78730,78695,78730
38730,78755,78695,78710
38705,78730,78675,78715
38720,78750,78700,78745
38745,78745,78700,78720
38725,78760,78715,78760
